prop_name,dev_stage,actv_status,country_name,current_stage,production_capacity,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),late_exp_stage_lead_time,late_exp_stage_left_time,fea_stage_lead_time,fea_stage_left_time,dev_stage_lead_time,dev_stage_left_time,latitude,longitude
Lalindu,Reserves Development,Active,Indonesia,Development-stage,,,1.8,,32.0,,,,,,,8.0,2.0,-3.4627,122.28738
Langmuir 2,Reserves Development,Inactive,Canada,Operating-stage,,,1.2,,0.231336,,,,,,,1.0,,48.34222,-81.00194
Lappvattnet,Reserves Development,Active,Sweden,Operating-stage,,,0.214,,37.5,,,,,,,0.0,,64.50455,20.83526
Larco,Operating,Active,Greece,Operating-stage,2570719.1189896115,243376.42775702034,0.81,17569.182007518008,300.0,2477230.0,42599274.8243631,,,,,,,38.65722,23.57806
Leinster,Operating,Active,Australia,Operating-stage,2031273.1739929533,108337.6699211832,0.84,19760.99602125852,190.0,,26511904.76190476,,,,,,,-27.81424,120.70243
Libjo,Operating,Active,Philippines,Operating-stage,871504.9122145578,19210.75322933295,1.32,2221.410267784079,30.08,466240.0,2429292.929292929,,,,,,,10.19,125.58
Limoeiro,Exploration,Active,Brazil,Development-stage,,,0.25,,35.0,87500.0,,1.0,,5.0,,7.0,5.0,-7.95676,-35.36739
Lockerby,Target Outline,Active,Canada,Development-stage,,,0.63,,12.22,76665.0,,0.0,,3.0,,5.0,1.0,46.43306,-81.31667
Loma de Niquel,Operating,Active,Venezuela,Operating-stage,1722238.1771344158,13460.525754699993,1.48,6849.418792939108,6.3,83800.0,3600000.0,,,,,,,10.15,-67.11778
Long Complex,Operating,Inactive,Australia,Closed,626441.36921413,0.0,2.7,0.0,,,162000.0,,,,,,,-31.189074,121.689737
Longchangren,Feasibility,Inactive,China,Development-stage,241851.78638798647,,0.44,,,,10730000.0,,,3.0,,6.0,2.0,42.76167,129.19444
Lounge Lizard,Operating,Inactive,Australia,Closed,2193667.242240726,0.0,3.5,0.0,6.674486,120382.0,601100.0,,,,,,,-32.43218,119.68787
Lovnozersky,Reserves Development,,Russia,Operating-stage,47286.44807239833,,0.735,296.05287409195824,,,84900.0,,,,,2.0,,68.34861,30.05333
Lubalisi,Reserves Development,Active,Tanzania,Operating-stage,,,0.82,,111.7,,,,,,,2.0,,-5.90009,30.0922
Lucky Break,Feasibility,Active,Australia,Feasibility-stage,,,0.75,,1.1,,,,,9.0,3.0,,,-19.47241,145.69095
Lynn Lake,Prefeas/Scoping,Active,Canada,Development-stage,,,0.72,,16.3,116800.0,,1.0,,3.0,,8.0,3.0,56.84402,-101.00211
Maba,Operating,Active,Indonesia,Operating-stage,18998890.888363898,2189369.9978678604,1.8,26027.791413168612,130.0,,130000000.0,,,,,,,0.70133,128.26793
Magogaphate,Feasibility Started,Active,Botswana,Development-stage,,,0.72,,2.38,,,,,3.0,,6.0,1.0,-21.657929,28.308706
Makwa,Prefeas/Scoping,Active,Canada,Operating-stage,,,0.58,,7.9,45810.0,,1.0,,4.0,,3.0,,50.46475,-95.44883
Makwa Mayville,Prefeas/Scoping,Active,Canada,Operating-stage,,,0.18,,31.8,57760.0,,2.0,,4.0,,3.0,,50.6298,-95.60953
Mambare,Reserves Development,Active,Papua New Guinea,Operating-stage,,,0.94,,162.5,1530000.0,,,,,,8.0,,-8.78167,147.74556
Mandiodo,Feasibility Complete,Active,Indonesia,Operating-stage,,,1.6,,36.5,,,,,,,1.0,,-3.54779,122.19817
Manicani,Reserves Development,Temporarily On Hold,Philippines,Operating-stage,,,1.19,,36.6,,,,,,,5.0,,10.993,125.64
Manitoba Division,Operating,Active,Canada,Operating-stage,747860.3732159033,86894.45407830288,0.75,12929.334980745552,19.64,147054.0,21562677.1892163,,,,,,,55.70728,-97.88904
Mariners,Satellite,On Hold Awaiting Higher Prices,Australia,Operating-stage,,,5.0,,0.213,,,,,,,4.0,,-31.63006,121.65626
Marriott's,Reserves Development,Active,Australia,Operating-stage,,,1.18,,0.584,9400.0,,,,,,4.0,,-28.45123,120.991434
Maslovskoe,Reserves Development,Active,Russia,Operating-stage,1675008.4964637128,,0.37,10486.95978914072,206.8,700000.0,192270270.2702703,,,,,4.0,,69.237,88.076
Massey-Whitesides,Target Outline,Inactive,Canada,Feasibility-stage,,,1.0,,0.385,,,3.0,,8.0,0.0,,,48.4522,-81.82025
Mayaniquel,Prefeas/Scoping,Active,Guatemala,Feasibility-stage,18700997.89879561,,1.86,,,,69889000.0,3.0,,17.0,8.0,,,15.44143,-89.64664
McMahon-Ken,Reserves Development,Care And Maintenance,Australia,Operating-stage,286296.3486726852,,2.4,1792.4555622535038,,,291000.0,,,,,7.0,,-31.17833,121.64944
Mel,Reserves Development,Inactive,Canada,Operating-stage,,,0.88,,4.3,,,,,,,9.0,,55.96157,-97.80577
Mesaba,Prefeas/Scoping,Active,USA,Operating-stage,,,0.3,,3040.2,2918410.0,,1.0,,5.0,,4.0,,47.64074,-91.89913
Minago,Operating,Active,Canada,Operating-stage,1504728.6342639108,42073.99028980388,0.735,11453.750314859286,44.23,360400.0,25200000.0,,,,,,,54.11277,-99.16678
Mindoro,Feasibility Complete,Active,Philippines,Development-stage,7166919.79369929,,0.95,,344.7,2926000.0,126300000.0,,,,,7.0,0.0,13.05333,121.13833
Moa Bay,Operating,Active,Cuba,Operating-stage,5934207.379955011,418857.1264725404,1.16,26641.702282757968,187.9,1848400.0,51100000.0,,,,,,,20.60979,-74.93079
Montcalm,Closed,Inactive,Canada,Closed-stage,224336.00752682582,,0.7275,,,,2800000.0,,,,,,,48.66432,-82.094
Montes Claros,Preproduction,Inactive,Brazil,Operating-stage,19334458.360544875,,1.295,121049.94559724147,,,333590733.5907336,,,,,5.0,,-16.00644,-51.39837
Mornopo,Satellite,Active,Indonesia,Operating-stage,3355198.85719722,,1.9,21006.362400120754,,,12500000.0,,,,,3.0,,0.79164,128.17987
Morro Sem Bone,Reserves Development,Inactive,Brazil,Operating-stage,,,1.76,,47.0,,,,,,,7.0,,-13.19779,-60.29933
Mt Edwards,Reserves Development,Active,Australia,Operating-stage,,,1.7,,8.7,141000.0,,,,,,3.0,,-31.68666,121.61343
Mt Keith,Operating,Active,Australia,Operating-stage,1928722.6533001456,374789.46195579844,0.54,24192.82366246764,,,95333333.33333334,,,,,,,-27.44611,120.5942
Mt Windarra,Target Outline,Temporarily On Hold,Australia,Feasibility-stage,,,1.53,,9.68,148500.0,,3.0,,4.0,0.0,,,-28.51401,122.22553
Munali,Operating,Active,Zambia,Operating-stage,650121.0049129025,37090.804741685904,1.0,3986.1926160388834,6.01,60160.0,6010000.0,,,,,,,-15.92333,28.13444
Murrin Murrin,Operating,Active,Australia,Operating-stage,9066501.157864628,1232530.3769478423,1.03,38686.532071230155,237.0,2353000.0,141400000.0,,,,,,,-28.76913,121.89354
Musongati,Feasibility,Active,Burundi,Feasibility-stage,,,0.96,,184.7,2419570.0,,,,10.0,0.0,,,-3.74421,30.24679
Mwetaung,Reserves Development,Active,Myanmar,Development-stage,7718331.365050386,,1.41,,42.0,592200.0,42000000.0,,,,,9.0,1.0,23.41568,94.01314
Nepean,Feasibility,Active,Australia,Operating-stage,,,0.99,,0.5913,13250.0,,,,15.0,,1.0,,-31.16607,121.08486
Nepean,Exploration,Active,Australia,Development-stage,,,2.24,,0.59,13250.0,,2.0,,21.0,,6.0,4.0,-31.20478,121.06164
New Morning,Reserves Development,Inactive,Australia,Operating-stage,,,1.41,,6.23,87928.0,,,,,,5.0,,-32.45306,119.68
Nickel King,Reserves Development,Active,Canada,Operating-stage,,,0.37,,44.2,,,,,,,4.0,,60.24933,-104.51322
Nickel West,Operating,Active,Australia,Operating-stage,284869.6733885618,303127.83106203703,0.63,63420.54437906581,87226.0,,3128760.0,,,,,,,-27.23056,120.545
Nikkel Og Olivin,Closed,Inactive,Norway,Closed-stage,48372.20460124994,,0.52,,,,600000.0,,,,,,,68.31667,16.68333
Nisk,Reserves Development,Active,Canada,Operating-stage,,,0.97,,3.091,,,,,,,2.0,,51.70532,-75.60596
Niwest,Operating,Active,Australia,Operating-stage,4265942.460606204,479990.97309336055,0.91,19110.7240395585,85.2,878000.0,64900000.0,,,,,,,-28.67722,121.71611
No. 20,Preproduction,Temporarily On Hold,China,Operating-stage,201301.61644572963,,0.655,1260.317163532148,,,1099000.0,,,,,3.0,,42.28194,94.77833
Nonoc,Feasibility,Active,Philippines,Operating-stage,,,1.32,,314.516939,2987911.0,,,,2.0,,4.0,,9.83278,125.61056
North Kambalda,Operating,Active,Australia,Operating-stage,1100669.8996996079,13748.225111494405,2.4,423.6492364521597,,,675000.0,,,,,,,-31.17766,121.69289
Norton,Reserves Development,Active,Canada,Development-stage,214776.7256210872,,0.67,,2.26,,2260000.0,,,,,8.0,1.0,51.90281,-87.42056
Norwest,Target Outline,Active,Brazil,Development-stage,,,1.79,,40.3,,,1.0,,2.0,,9.0,1.0,-13.75285,-60.34082
Nova-Bollinger,Operating,Active,Australia,Operating-stage,3360544.9124127342,38071.10715281594,2.0,24524.30170775556,11.6,234000.0,9500000.0,,,,,,,-31.8139,123.17778
Ntaka Hill,Prefeas/Scoping,Temporarily On Hold,Tanzania,Feasibility-stage,,,0.63,,56.2,356380.0,,1.0,,15.0,8.0,,,-10.10449,38.54364
Nunavik,Operating,Active,Canada,Operating-stage,1311027.6950737403,5969.045060903691,0.89,13191.47323084569,27.15,241970.0,11314328.0,,,,,,,61.420856,-74.1375
Oktyabrsky,Satellite,Active,Russia,Operating-stage,41003.568129875115,,0.735,256.71676955497026,,,74900.0,,,,,2.0,,69.52435,88.34008
Old Nick,Reserves Development,Active,Canada,Operating-stage,,,0.1914,,17.24,,,,,,,2.0,,49.04169,-119.08467
Onca Puma,Operating,Active,Brazil,Operating-stage,19660647.015872236,1824797.4324372371,1.63,3800.1590191936248,225.478,3501942.0,113300000.0,,,,,,,-6.57399,-51.09138
Ontario Division,Operating,Active,Canada,Operating-stage,4410839.962011327,500133.38851777196,1.38,52122.38579974984,58.1,801780.0,58100000.0,,,,,,,46.49222,-81.06667
Pacific Express,Reserves Development,Active,Australia,Operating-stage,,,0.99,,0.697,,,,,,,8.0,,-31.57099,152.79006
Palawan,Operating,Active,Philippines,Operating-stage,1269270.1769171099,26128.67197883771,1.3,3021.3547342186957,,,3354929.577464789,,,,,,,9.22227,118.25453
Pardoo-Highway,Reserves Development,Active,Australia,Operating-stage,,,0.3,,44.7,151700.0,,,,,,5.0,,-20.18773,119.6572
Phoenix,Operating,Active,Botswana,Operating-stage,36131.09427943844,7880.604170739503,0.15,1437.5323392588255,116.756,241500.0,10800000.0,,,,,,,-21.2125,27.77139
Pinares de Mayari,Feasibility,Inactive,Cuba,Feasibility-stage,21332361.9983554,,1.14,,200.0,2000000.0,385964912.2807018,,,19.0,6.0,,,20.56505,-75.70294
